epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,824.58,1.15001,1.82933,1.36454,0.60327,0.47324,0.51091,0.35812,1.06561,1.40931,1.38143,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054
2,1612.33,1.15675,1.4196,1.3618,0.60739,0.43529,0.47607,0.32807,1.12577,1.6229,1.42355,0.0198698,0.00662326,0.0198698,0.00662326,0.0198698,0.00662326,0.0198698,0.00662326
3,2361.05,1.21554,1.53803,1.40973,0.51091,0.41232,0.39633,0.25792,1.25585,1.71884,1.57013,0.029265,0.00975501,0.029265,0.00975501,0.029265,0.00975501,0.029265,0.00975501
4,3109.37,1.22959,1.55851,1.4254,0.61338,0.46358,0.50355,0.35232,1.12868,1.40913,1.44917,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
5,3858.48,1.1742,1.40538,1.38287,0.63784,0.50863,0.56475,0.40339,1.05672,1.28496,1.37038,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
6,4606.69,1.12952,1.30729,1.35587,0.7279,0.52698,0.6038,0.44924,0.97645,1.11577,1.293,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
7,5355.04,1.1006,1.22801,1.33329,0.74523,0.56426,0.64885,0.48748,0.9425,1.0355,1.25775,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
8,6103.18,1.0778,1.16622,1.31611,0.74596,0.60762,0.67836,0.51321,0.93218,0.9673,1.24708,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
9,6852.35,1.0594,1.11396,1.30418,0.76658,0.60504,0.69134,0.53052,0.8978,0.91717,1.2213,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
10,7600.36,1.02372,1.05388,1.28013,0.74532,0.63387,0.70573,0.54489,0.87113,0.87588,1.1896,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
11,8345.73,1.03222,1.04258,1.3046,0.7593,0.64581,0.72191,0.56218,0.85225,0.83695,1.17057,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,9087.75,0.99818,0.96346,1.27589,0.76724,0.66081,0.72577,0.56881,0.84034,0.80831,1.1605,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
13,9829.19,0.97946,0.90854,1.26061,0.79023,0.6707,0.73515,0.57599,0.83149,0.7882,1.15004,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
14,10571.1,0.95518,0.85319,1.23533,0.79208,0.6757,0.75107,0.5938,0.81154,0.76608,1.13278,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
15,11313.6,0.93353,0.80927,1.21879,0.80912,0.67488,0.7524,0.59502,0.80892,0.75462,1.12954,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
16,12054.3,0.91176,0.76788,1.20522,0.80535,0.68373,0.76015,0.60285,0.7992,0.73329,1.11915,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
17,12795.2,0.89296,0.73003,1.19045,0.80334,0.6942,0.76625,0.60798,0.79457,0.72958,1.1166,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
18,13535.3,0.88551,0.70602,1.18606,0.79611,0.70148,0.76743,0.61037,0.7891,0.72665,1.1122,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
19,14278,0.8704,0.68373,1.17385,0.81412,0.69554,0.77057,0.61376,0.78827,0.72351,1.11005,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
20,15023.6,0.86635,0.67714,1.17374,0.81469,0.69574,0.77176,0.61406,0.78847,0.72433,1.11001,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
